CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x0000000000000000000000000000000000000000000000000000000000000001,Sui,Utility
0x0000000000000000000000000000000000000000000000000000000000000002,Sui,NFT
0x0000000000000000000000000000000000000000000000000000000000000003,Sui,DeFi
0x000000000000000000000000000000000000000000000000000000000000000b,Sui,Utility
0x000000000000000000000000000000000000000000000000000000000000dee9,DeepBook,DeFi
0x00091f5f43af95437430d6e36d5b19be766e9a65b67d9471ff5cd7fadea130b4,DoubleUp,Gambling
0x0018f7bbbece22f4272ed2281b290f745e5aa69d870f599810a30b4eeffc1a5e,Cetus,DeFi
0x002134246a32eec18e68f1f5aadb8edd34856298ae6d32c145d28f3ca46c7fd1,Aftermath Finance,DeFi
0x002313a36cffa53b311a8acb949c48b14dabb5a6a38ffb345ee9ac76a06d453a,DoubleUp,Gambling
0x002875153e09f8145ab63527bc85c00f2bd102e12f9573c47f8cdf1a1cb62934,Scallop,DeFi
0x004abae9be1a4641de72755b4d9aedb1f083c8ecb86c7a5b6546a0e6912d7c18,OriginByte,Utility
0x00802c52b34423ce62437fdf9a351c8869efd63674b506a5c190608567cdbca2,Bluefin,DeFi
0x0081dfde5fd50f02357ed690459086a6e6890683a921ee19f136ec1a95f30068,Ika,Utility
0x0089bea03fdefdfef59dfee9c6f43ec58ea7f97f7de2a997720853adda8aeea6,The Order,Social
0x008a7e85138643db888096f2db04766d549ca496583e41c3a683c6e1539a64ac,Suilend,DeFi
0x00a1d5e3f98eb588b245a87c02363652436450aedb62ef1a7b018f16e6423059,DeLoreanlabs,Commercial
0x00b53b0f4174108627fbee72e2498b58d6a2714cded53fac537034c220d26302,Pyth Network,Oracle
0x00c2f85e07181b90c140b15c5ce27d863f93c4d9159d2a4e7bdaeb40e286d6f5,Sui Name Service,Utility
0x0100e24af88d234b0bae8a4bb15b9d73f1002e3ed1a8e2b57c702c6a41e99bda,Sweet Phase 1,Commercial
0x01165ca90b8c6988743afffa4018e7fdfbe3d2971d4a09479e473379bdd072c3,Wave Wallet,GameFi
0x011840332be097b422abb8336970b0be1d7333df22134cd5c3be9d9a1cb956d0,Typus Finance,DeFi
0x01268a2afbaf91538f0b9041269fe2780273eb83b642abd4fcacad7b660a3711,Magma Finance,DeFi
0x014ecd52a8a8e5c9283250c5fae31dfcd755dda2febe077ef578c6091fd7f420,Kai Finance,DeFi
0x01532b5f6e6aa86f1de3091d83db06f274f2177e8e4abaeea6ea39e8d412e4ad,Typus Finance,DeFi
0x01568dcf9aa67570b6fd67b21252a1b8ab34b4987a468454c5d226d9867782b5,Typus Finance,DeFi
0x0161299b4c0c8d021dee1b929f00065b236c9355d4a7e71753e2510c9b09cd96,OriginByte,Utility
0x016b8ce6560f55bfe02abb2cc0681bb91f767107cfb1c9b6e73a6bcf74492a02,Cetus,DeFi
0x018d6649865e699901a559e72281e2fa10840b50711a2a59b48b1b09c53714b0,Pramb,DeFi
0x019fe3a0a4a831515a6801c51fdf0800e2428777b4e29cbc8355b7939a009893,Typus Finance,DeFi
0x01c389a85310b47e7630a9361d4e71025bc35e4999d3a645949b1b68b26f2273,Kai Finance,DeFi
0x01d022d585ea528404d2ea250b01098ed62348c0a52bf934d797cec374261d7d,SUI Desci Agents,Utility
0x01e5d38f1f509409e4eebf5d517767676522c4b208e3d1ef985841e5c2e70de9,Typus Finance,DeFi
0x01fa35726cfd42ceb05932c7b77c9cc6e5374c077eed5ef23909866184306a3e,AlphaFi,DeFi
0x02139a2e2ccb61caf776b76fbcef883bdfa6d2cbe0c2f1115a16cb8422b44da2,Bucket Protocol,DeFi
0x021e521c21f2d8b3973ef276def87e1675d7d215e1406bacba54001ab3dee47d,Typus Finance,DeFi
0x022257d081742f275b6f16c697b11d7a9059a8d56d2067268bde3d643de5df7c,AlphaFi,DeFi
0x022a63d71fad39d6d76c7d6dad64acef64d9d92936baa8f797944e0d191a3521,Aftermath Finance,DeFi
0x0249e0a06ad4d953734261525be727d1e239db076d6c02e7fdd229661ada8be5,Kai Finance,DeFi
0x024bdd13a69eb26c231df1b6296a6281f9f178940490084952ebb89dd6c28787,Scallop,DeFi
0x0275217e283b408b60adc2ca5f842df3e59fb71e06ee79f07b4eb989141f91d3,Bucket Protocol,DeFi
0x028b21b1842f097d22b111a02d84a1e93c4c9056cb82e006ab3ccf2b6bca2f1f,Obric,DeFi
0x02be8c4a1a3cea4d3255d870d367c87838a8cc2bfe4f216a6b67b153027087a7,Keepsake,Marketplace
0x02f3046dcbbee703e89dfdba5c73846dc0e4d0fbb33c581ab0498faf2db0a78d,Mole,DeFi
0x02f559d0dc20285d295a9857bb81b1d6c0e72e2bc1e963a81c31b660c0764705,Aftermath Finance,DeFi
0x02fb1289eb4e9ef987c6e383be4a9b298ef96d10a3f29060aaef39a0f9ecfbe6,Suilend,DeFi
0x03138727c6a5b7aaefac2ad82bd19bd1174e79011ff82eb00407c0aad837e81f,STEAMM,DeFi
0x0331d54cb177f4c16cb46a2b0a19c88c376cb8c0429a949f0bec3714b2f80c61,Kriya,DeFi
0x033495b86d276fcf98695d1a8225242783ee26e232f547653a3412245f5ae4c3,Sui 8192 Game by Ethos,Game
0x034544addf9186ef99a8bc04a60cb0ac025a5299a7de20f36d610d3137953e29,Resurrect.fun,
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca,Studio Mirai,NFT Apps
0x036212cd1645882a969369a502d634534c414f3ff70e6f9003d9c64121421ceb,Kriya,DeFi
0x03754bac8e6159a2fd2d266f277aa81987d8b936a4e1ef47dc8625edefc79b2c,SuiCityP2E,Gaming
